country,year,gross_emissions_Mg_CO2e
Indonesia,2001,508698553
Indonesia,2002,650458057
Indonesia,2003,444613985
Indonesia,2004,1011614959
Indonesia,2005,976236940
Indonesia,2006,1050082785
Indonesia,2007,1196562039
Indonesia,2008,1053966407
Indonesia,2009,1439965694
Indonesia,2010,1058708908
Indonesia,2011,1257346845
Indonesia,2012,1812271450
Indonesia,2013,884816294
Indonesia,2014,1439689263
Indonesia,2015,1286444341
Indonesia,2016,1849379881
Indonesia,2017,843656546
Indonesia,2018,776780749
Indonesia,2019,754598044
Indonesia,2020,604785145
Indonesia,2021,518185901
Indonesia,2022,549418240
Indonesia,2023,853323054
Indonesia,2024,690608784
Indonesia,2025,735560123
