country,driver,year,tree_cover_loss_ha
Indonesia,Hard commodities,2001,10340
Indonesia,Logging,2001,94395
Indonesia,Other natural disturbances,2001,7677
Indonesia,Permanent agriculture,2001,537405
Indonesia,Settlements & Infrastructure,2001,3073
Indonesia,Shifting cultivation,2001,74893
Indonesia,Wildfire,2001,13785
Indonesia,Hard commodities,2002,12813
Indonesia,Logging,2002,111386
Indonesia,Other natural disturbances,2002,13019
Indonesia,Permanent agriculture,2002,580615
Indonesia,Settlements & Infrastructure,2002,4498
Indonesia,Shifting cultivation,2002,87888
Indonesia,Wildfire,2002,42604
Indonesia,Hard commodities,2003,11054
Indonesia,Logging,2003,62027
Indonesia,Other natural disturbances,2003,9019
Indonesia,Permanent agriculture,2003,323105
Indonesia,Settlements & Infrastructure,2003,1831
Indonesia,Shifting cultivation,2003,50274
Indonesia,Wildfire,2003,86065
Indonesia,Hard commodities,2004,21508
Indonesia,Logging,2004,177494
Indonesia,Other natural disturbances,2004,11535
Indonesia,Permanent agriculture,2004,932476
Indonesia,Settlements & Infrastructure,2004,5376
Indonesia,Shifting cultivation,2004,99346
Indonesia,Wildfire,2004,38797
Indonesia,Hard commodities,2005,19905
Indonesia,Logging,2005,147674
Indonesia,Other natural disturbances,2005,9002
Indonesia,Permanent agriculture,2005,877321
Indonesia,Settlements & Infrastructure,2005,5147
Indonesia,Shifting cultivation,2005,70003
Indonesia,Wildfire,2005,51558
Indonesia,Hard commodities,2006,21817
Indonesia,Logging,2006,144910
Indonesia,Other natural disturbances,2006,10519
Indonesia,Permanent agriculture,2006,1112770
Indonesia,Settlements & Infrastructure,2006,5671
Indonesia,Shifting cultivation,2006,96424
Indonesia,Wildfire,2006,38784
Indonesia,Hard commodities,2007,25611
Indonesia,Logging,2007,181126
Indonesia,Other natural disturbances,2007,11251
Indonesia,Permanent agriculture,2007,951935
Indonesia,Settlements & Infrastructure,2007,5212
Indonesia,Shifting cultivation,2007,63838
Indonesia,Wildfire,2007,146725
Indonesia,Hard commodities,2008,24329
Indonesia,Logging,2008,181408
Indonesia,Other natural disturbances,2008,7165
Indonesia,Permanent agriculture,2008,1074327
Indonesia,Settlements & Infrastructure,2008,5064
Indonesia,Shifting cultivation,2008,75011
Indonesia,Wildfire,2008,27194
Indonesia,Hard commodities,2009,40728
Indonesia,Logging,2009,157169
Indonesia,Other natural disturbances,2009,17674
Indonesia,Permanent agriculture,2009,1555072
Indonesia,Settlements & Infrastructure,2009,9809
Indonesia,Shifting cultivation,2009,105639
Indonesia,Wildfire,2009,55942
Indonesia,Hard commodities,2010,23742
Indonesia,Logging,2010,184372
Indonesia,Other natural disturbances,2010,9685
Indonesia,Permanent agriculture,2010,963619
Indonesia,Settlements & Infrastructure,2010,5090
Indonesia,Shifting cultivation,2010,54113
Indonesia,Wildfire,2010,36072
Indonesia,Hard commodities,2011,37533
Indonesia,Logging,2011,206272
Indonesia,Other natural disturbances,2011,11372
Indonesia,Permanent agriculture,2011,1174787
Indonesia,Settlements & Infrastructure,2011,6099
Indonesia,Shifting cultivation,2011,63054
Indonesia,Wildfire,2011,41427
Indonesia,Hard commodities,2012,58514
Indonesia,Logging,2012,229471
Indonesia,Other natural disturbances,2012,19815
Indonesia,Permanent agriculture,2012,1753540
Indonesia,Settlements & Infrastructure,2012,8867
Indonesia,Shifting cultivation,2012,95553
Indonesia,Wildfire,2012,87499
Indonesia,Hard commodities,2013,25007
Indonesia,Logging,2013,114246
Indonesia,Other natural disturbances,2013,6749
Indonesia,Permanent agriculture,2013,882736
Indonesia,Settlements & Infrastructure,2013,3112
Indonesia,Shifting cultivation,2013,66631
Indonesia,Wildfire,2013,38735
Indonesia,Hard commodities,2014,40772
Indonesia,Logging,2014,169132
Indonesia,Other natural disturbances,2014,18337
Indonesia,Permanent agriculture,2014,1374555
Indonesia,Settlements & Infrastructure,2014,7080
Indonesia,Shifting cultivation,2014,121423
Indonesia,Wildfire,2014,159475
Indonesia,Hard commodities,2015,35784
Indonesia,Logging,2015,164566
Indonesia,Other natural disturbances,2015,27611
Indonesia,Permanent agriculture,2015,1092211
Indonesia,Settlements & Infrastructure,2015,6579
Indonesia,Shifting cultivation,2015,136438
Indonesia,Wildfire,2015,280591
Indonesia,Hard commodities,2016,46032
Indonesia,Logging,2016,186825
Indonesia,Other natural disturbances,2016,35186
Indonesia,Permanent agriculture,2016,1269610
Indonesia,Settlements & Infrastructure,2016,7903
Indonesia,Shifting cultivation,2016,156013
Indonesia,Wildfire,2016,717550
Indonesia,Hard commodities,2017,28718
Indonesia,Logging,2017,129021
Indonesia,Other natural disturbances,2017,19154
Indonesia,Permanent agriculture,2017,941201
Indonesia,Settlements & Infrastructure,2017,7149
Indonesia,Shifting cultivation,2017,128453
Indonesia,Wildfire,2017,44053
Indonesia,Hard commodities,2018,35898
Indonesia,Logging,2018,128502
Indonesia,Other natural disturbances,2018,16239
Indonesia,Permanent agriculture,2018,876812
Indonesia,Settlements & Infrastructure,2018,5930
Indonesia,Shifting cultivation,2018,115553
Indonesia,Wildfire,2018,38456
Indonesia,Hard commodities,2019,35406
Indonesia,Logging,2019,130172
Indonesia,Other natural disturbances,2019,18305
Indonesia,Permanent agriculture,2019,800768
Indonesia,Settlements & Infrastructure,2019,6264
Indonesia,Shifting cultivation,2019,104573
Indonesia,Wildfire,2019,79988
Indonesia,Hard commodities,2020,27032
Indonesia,Logging,2020,94135
Indonesia,Other natural disturbances,2020,13129
Indonesia,Permanent agriculture,2020,655169
Indonesia,Settlements & Infrastructure,2020,4043
Indonesia,Shifting cultivation,2020,91507
Indonesia,Wildfire,2020,75313
Indonesia,Hard commodities,2021,28531
Indonesia,Logging,2021,77886
Indonesia,Other natural disturbances,2021,11498
Indonesia,Permanent agriculture,2021,616740
Indonesia,Settlements & Infrastructure,2021,3645
Indonesia,Shifting cultivation,2021,76910
Indonesia,Wildfire,2021,24555
Indonesia,Hard commodities,2022,30150
Indonesia,Logging,2022,79814
Indonesia,Other natural disturbances,2022,11519
Indonesia,Permanent agriculture,2022,654852
Indonesia,Settlements & Infrastructure,2022,3348
Indonesia,Shifting cultivation,2022,74563
Indonesia,Wildfire,2022,29550
Indonesia,Hard commodities,2023,43967
Indonesia,Logging,2023,123540
Indonesia,Other natural disturbances,2023,12855
Indonesia,Permanent agriculture,2023,1032209
Indonesia,Settlements & Infrastructure,2023,5919
Indonesia,Shifting cultivation,2023,110972
Indonesia,Wildfire,2023,65206
Indonesia,Hard commodities,2024,34315
Indonesia,Logging,2024,112596
Indonesia,Other natural disturbances,2024,10921
Indonesia,Permanent agriculture,2024,826912
Indonesia,Settlements & Infrastructure,2024,3348
Indonesia,Shifting cultivation,2024,89056
Indonesia,Wildfire,2024,42468
Indonesia,Hard commodities,2025,31817
Indonesia,Logging,2025,133362
Indonesia,Other natural disturbances,2025,19598
Indonesia,Permanent agriculture,2025,824617
Indonesia,Settlements & Infrastructure,2025,3291
Indonesia,Shifting cultivation,2025,105595
Indonesia,Wildfire,2025,42382
