country,threshold,year,tree_cover_loss_ha
Indonesia,30,2002,271745
Indonesia,30,2003,248436
Indonesia,30,2004,479153
Indonesia,30,2005,478404
Indonesia,30,2006,468381
Indonesia,30,2007,525992
Indonesia,30,2008,469405
Indonesia,30,2009,683826
Indonesia,30,2010,540976
Indonesia,30,2011,613905
Indonesia,30,2012,855533
Indonesia,30,2013,472992
Indonesia,30,2014,736797
Indonesia,30,2015,666637
Indonesia,30,2016,928658
Indonesia,30,2017,373255
Indonesia,30,2018,339888
Indonesia,30,2019,323646
Indonesia,30,2020,270057
Indonesia,30,2021,202906
Indonesia,30,2022,230003
Indonesia,30,2023,292374
Indonesia,30,2024,258812
Indonesia,30,2025,295596
