country,threshold,year,tree_cover_loss_ha
Indonesia,30,2001,744084
Indonesia,30,2002,855270
Indonesia,30,2003,544812
Indonesia,30,2004,1289035
Indonesia,30,2005,1182436
Indonesia,30,2006,1433147
Indonesia,30,2007,1387621
Indonesia,30,2008,1396246
Indonesia,30,2009,1944957
Indonesia,30,2010,1279328
Indonesia,30,2011,1543628
Indonesia,30,2012,2260258
Indonesia,30,2013,1139300
Indonesia,30,2014,1894359
Indonesia,30,2015,1746464
Indonesia,30,2016,2422066
Indonesia,30,2017,1300718
Indonesia,30,2018,1218733
Indonesia,30,2019,1176883
Indonesia,30,2020,961585
Indonesia,30,2021,841390
Indonesia,30,2022,885237
Indonesia,30,2023,1395285
Indonesia,30,2024,1120264
Indonesia,30,2025,1161831
