province,dominant_driver,dominant_pct,wildfire_pct,tc_loss_ha
Riau,Permanent agriculture,74.4,4.55,4397585
Kalimantan Barat,Permanent agriculture,76.6,5.5,4354938
Kalimantan Tengah,Permanent agriculture,56.8,23.26,3959340
Sumatera Selatan,Permanent agriculture,77.2,9.03,3404617
Kalimantan Timur,Permanent agriculture,71.9,3.39,3252700
Jambi,Permanent agriculture,79.0,4.34,2081755
Sumatera Utara,Permanent agriculture,84.1,0.75,1693948
Kalimantan Selatan,Permanent agriculture,75.6,4.98,959789
Aceh,Permanent agriculture,85.8,0.48,915248
Sulawesi Tengah,Permanent agriculture,53.6,7.92,874411
Kalimantan Utara,Permanent agriculture,63.3,1.79,810734
Papua,Permanent agriculture,38.9,6.88,796306
Sumatera Barat,Permanent agriculture,76.6,0.61,786035
Bangka Belitung,Permanent agriculture,91.3,3.62,733441
Sulawesi Tenggara,Permanent agriculture,75.4,2.75,591916
Bengkulu,Permanent agriculture,83.0,0.06,503842
Sulawesi Selatan,Permanent agriculture,76.5,4.05,393755
Papua Barat,Logging,39.2,6.94,354017
Lampung,Permanent agriculture,89.3,1.51,328575
Maluku Utara,Permanent agriculture,31.7,11.37,301289
Sulawesi Barat,Permanent agriculture,64.4,0.43,286145
Maluku,Permanent agriculture,41.7,18.21,262744
Kepulauan Riau,Permanent agriculture,46.4,29.92,156857
Nusa Tenggara Timur,Permanent agriculture,75.0,1.25,152911
Gorontalo,Permanent agriculture,80.5,0.73,150110
Sulawesi Utara,Permanent agriculture,63.7,2.81,126462
Jawa Timur,Permanent agriculture,85.0,0.69,108986
Nusa Tenggara Barat,Permanent agriculture,87.4,1.06,105870
Jawa Barat,Permanent agriculture,76.1,0.32,97472
Jawa Tengah,Permanent agriculture,84.7,0.07,63200
Banten,Permanent agriculture,77.8,0.36,53915
Bali,Permanent agriculture,77.0,0.42,8525
Yogyakarta,Permanent agriculture,66.2,0.0,1449
Jakarta Raya,Settlements & Infrastructure,53.8,0.0,13
