country,year,tree_cover_loss_ha_x,tree_cover_loss_ha_y,gross_emissions_Mg_CO2e
Indonesia,2002,855270,271745,650458057
Indonesia,2003,544812,248436,444613985
Indonesia,2004,1289035,479153,1011614959
Indonesia,2005,1182436,478404,976236940
Indonesia,2006,1433147,468381,1050082785
Indonesia,2007,1387621,525992,1196562039
Indonesia,2008,1396246,469405,1053966407
Indonesia,2009,1944957,683826,1439965694
Indonesia,2010,1279328,540976,1058708908
Indonesia,2011,1543628,613905,1257346845
Indonesia,2012,2260258,855533,1812271450
Indonesia,2013,1139300,472992,884816294
Indonesia,2014,1894359,736797,1439689263
Indonesia,2015,1746464,666637,1286444341
Indonesia,2016,2422066,928658,1849379881
Indonesia,2017,1300718,373255,843656546
Indonesia,2018,1218733,339888,776780749
Indonesia,2019,1176883,323646,754598044
Indonesia,2020,961585,270057,604785145
Indonesia,2021,841390,202906,518185901
Indonesia,2022,885237,230003,549418240
Indonesia,2023,1395285,292374,853323054
Indonesia,2024,1120264,258812,690608784
Indonesia,2025,1161831,295596,735560123
