country,subnational1,year,tree_cover_loss_ha,gross_emissions_Mg_CO2e
Indonesia,Aceh,2001,18278,10876310
Indonesia,Bali,2001,424,260474
Indonesia,Bangka Belitung,2001,13910,7031487
Indonesia,Banten,2001,1054,626102
Indonesia,Bengkulu,2001,14198,10203132
Indonesia,Gorontalo,2001,3499,2408462
Indonesia,Jakarta Raya,2001,4,1007
Indonesia,Jambi,2001,46912,34140822
Indonesia,Jawa Barat,2001,6798,4819651
Indonesia,Jawa Tengah,2001,2676,1764777
Indonesia,Jawa Timur,2001,4226,2932386
Indonesia,Kalimantan Barat,2001,77940,49956846
Indonesia,Kalimantan Selatan,2001,18967,10697784
Indonesia,Kalimantan Tengah,2001,64076,42725073
Indonesia,Kalimantan Timur,2001,45977,27470245
Indonesia,Kalimantan Utara,2001,27060,19585127
Indonesia,Kepulauan Riau,2001,1719,958044
Indonesia,Lampung,2001,10336,5716765
Indonesia,Maluku,2001,4540,3093482
Indonesia,Maluku Utara,2001,7354,5319473
Indonesia,Nusa Tenggara Barat,2001,2882,1798670
Indonesia,Nusa Tenggara Timur,2001,4725,2796386
Indonesia,Papua,2001,12589,8864625
Indonesia,Papua Barat,2001,6078,4624840
Indonesia,Riau,2001,156511,145488037
Indonesia,Sulawesi Barat,2001,16400,11940612
Indonesia,Sulawesi Selatan,2001,8488,5684548
Indonesia,Sulawesi Tengah,2001,17547,12498223
Indonesia,Sulawesi Tenggara,2001,15948,10231719
Indonesia,Sulawesi Utara,2001,4519,3290821
Indonesia,Sumatera Barat,2001,15016,9083974
Indonesia,Sumatera Selatan,2001,59014,31438329
Indonesia,Sumatera Utara,2001,54337,20325216
Indonesia,Yogyakarta,2001,83,45104
Indonesia,Aceh,2002,10953,6678064
Indonesia,Bali,2002,313,189686
Indonesia,Bangka Belitung,2002,11247,5588009
Indonesia,Banten,2002,1761,1055833
Indonesia,Bengkulu,2002,10422,7576499
Indonesia,Gorontalo,2002,8013,5591703
Indonesia,Jakarta Raya,2002,0,20
Indonesia,Jambi,2002,45073,37031009
Indonesia,Jawa Barat,2002,3850,2607003
Indonesia,Jawa Tengah,2002,1898,1153265
Indonesia,Jawa Timur,2002,4052,2729761
Indonesia,Kalimantan Barat,2002,96866,63100013
Indonesia,Kalimantan Selatan,2002,24324,13985772
Indonesia,Kalimantan Tengah,2002,102875,75327173
Indonesia,Kalimantan Timur,2002,57425,34198121
Indonesia,Kalimantan Utara,2002,23604,16726857
Indonesia,Kepulauan Riau,2002,5529,3086543
Indonesia,Lampung,2002,9348,5351655
Indonesia,Maluku,2002,14596,10240765
Indonesia,Maluku Utara,2002,23401,16823070
Indonesia,Nusa Tenggara Barat,2002,2675,1620679
Indonesia,Nusa Tenggara Timur,2002,4608,2669075
Indonesia,Papua,2002,20480,14215029
Indonesia,Papua Barat,2002,14750,12754323
Indonesia,Riau,2002,154561,174861442
Indonesia,Sulawesi Barat,2002,12107,8761565
Indonesia,Sulawesi Selatan,2002,12728,8514477
Indonesia,Sulawesi Tengah,2002,33169,23584166
Indonesia,Sulawesi Tenggara,2002,15851,10428574
Indonesia,Sulawesi Utara,2002,7682,5708514
Indonesia,Sumatera Barat,2002,15384,11049061
Indonesia,Sumatera Selatan,2002,65958,47317533
Indonesia,Sumatera Utara,2002,39736,19915984
Indonesia,Yogyakarta,2002,32,16815
Indonesia,Aceh,2003,11816,8095293
Indonesia,Bali,2003,180,116829
Indonesia,Bangka Belitung,2003,7123,3504184
Indonesia,Banten,2003,293,167835
Indonesia,Bengkulu,2003,8104,5840849
Indonesia,Gorontalo,2003,2806,2077892
Indonesia,Jakarta Raya,2003,0,120
Indonesia,Jambi,2003,21497,17864124
Indonesia,Jawa Barat,2003,1979,1419521
Indonesia,Jawa Tengah,2003,790,512512
Indonesia,Jawa Timur,2003,2910,2011434
Indonesia,Kalimantan Barat,2003,55967,37951641
Indonesia,Kalimantan Selatan,2003,18402,10861601
Indonesia,Kalimantan Tengah,2003,129123,150850624
Indonesia,Kalimantan Timur,2003,36974,23431957
Indonesia,Kalimantan Utara,2003,16649,11893266
Indonesia,Kepulauan Riau,2003,1776,1018327
Indonesia,Lampung,2003,4982,3028937
Indonesia,Maluku,2003,4307,2984547
Indonesia,Maluku Utara,2003,10038,6252779
Indonesia,Nusa Tenggara Barat,2003,1720,990208
Indonesia,Nusa Tenggara Timur,2003,3848,2235754
Indonesia,Papua,2003,11730,8719584
Indonesia,Papua Barat,2003,7248,5907639
Indonesia,Riau,2003,57204,57755932
Indonesia,Sulawesi Barat,2003,6885,5116530
Indonesia,Sulawesi Selatan,2003,5984,4194496
Indonesia,Sulawesi Tengah,2003,20131,13961744
Indonesia,Sulawesi Tenggara,2003,13418,9388288
Indonesia,Sulawesi Utara,2003,2910,2283888
Indonesia,Sumatera Barat,2003,9834,6996854
Indonesia,Sumatera Selatan,2003,30693,19722445
Indonesia,Sumatera Utara,2003,37482,17451908
Indonesia,Yogyakarta,2003,9,4442
Indonesia,Aceh,2004,19138,11641792
Indonesia,Bali,2004,370,217965
Indonesia,Bangka Belitung,2004,21976,11525949
Indonesia,Banten,2004,1404,836646
Indonesia,Bengkulu,2004,25985,18450466
Indonesia,Gorontalo,2004,6950,4759596
Indonesia,Jakarta Raya,2004,2,678
Indonesia,Jambi,2004,97085,92770309
Indonesia,Jawa Barat,2004,3658,2231652
Indonesia,Jawa Tengah,2004,3568,2159950
Indonesia,Jawa Timur,2004,6465,4292545
Indonesia,Kalimantan Barat,2004,113922,77932009
Indonesia,Kalimantan Selatan,2004,41871,25956385
Indonesia,Kalimantan Tengah,2004,169837,117063391
Indonesia,Kalimantan Timur,2004,71495,43015684
Indonesia,Kalimantan Utara,2004,36334,26804882
Indonesia,Kepulauan Riau,2004,4533,2473175
Indonesia,Lampung,2004,10521,5759314
Indonesia,Maluku,2004,7366,5160650
Indonesia,Maluku Utara,2004,12042,9000739
Indonesia,Nusa Tenggara Barat,2004,4554,2775787
Indonesia,Nusa Tenggara Timur,2004,4687,2622722
Indonesia,Papua,2004,19128,14274968
Indonesia,Papua Barat,2004,12226,9470052
Indonesia,Riau,2004,270588,309367921
Indonesia,Sulawesi Barat,2004,15736,11488684
Indonesia,Sulawesi Selatan,2004,17832,11968500
Indonesia,Sulawesi Tengah,2004,40160,29011928
Indonesia,Sulawesi Tenggara,2004,41601,29455478
Indonesia,Sulawesi Utara,2004,6841,5129888
Indonesia,Sumatera Barat,2004,26547,19759772
Indonesia,Sumatera Selatan,2004,102153,70888335
Indonesia,Sumatera Utara,2004,72385,33313011
Indonesia,Yogyakarta,2004,71,34137
Indonesia,Aceh,2005,26479,17557814
Indonesia,Bali,2005,237,147626
Indonesia,Bangka Belitung,2005,19840,10126953
Indonesia,Banten,2005,545,316081
Indonesia,Bengkulu,2005,13141,9284731
Indonesia,Gorontalo,2005,4241,3066971
Indonesia,Jakarta Raya,2005,1,161
Indonesia,Jambi,2005,71002,63356141
Indonesia,Jawa Barat,2005,2326,1540414
Indonesia,Jawa Tengah,2005,1703,1083503
Indonesia,Jawa Timur,2005,2820,1817806
Indonesia,Kalimantan Barat,2005,104565,75831987
Indonesia,Kalimantan Selatan,2005,25393,14831288
Indonesia,Kalimantan Tengah,2005,158552,111040142
Indonesia,Kalimantan Timur,2005,66743,41322862
Indonesia,Kalimantan Utara,2005,23947,17333991
Indonesia,Kepulauan Riau,2005,8092,4433025
Indonesia,Lampung,2005,9319,4894483
Indonesia,Maluku,2005,5605,3959869
Indonesia,Maluku Utara,2005,6417,4830634
Indonesia,Nusa Tenggara Barat,2005,2035,1231203
Indonesia,Nusa Tenggara Timur,2005,5053,2857669
Indonesia,Papua,2005,14728,11143959
Indonesia,Papua Barat,2005,7085,5424824
Indonesia,Riau,2005,355414,395715394
Indonesia,Sulawesi Barat,2005,9396,7031651
Indonesia,Sulawesi Selatan,2005,8573,5762579
Indonesia,Sulawesi Tengah,2005,18074,13222894
Indonesia,Sulawesi Tenggara,2005,16419,11523630
Indonesia,Sulawesi Utara,2005,3474,2611837
Indonesia,Sumatera Barat,2005,29285,23670590
Indonesia,Sumatera Selatan,2005,87404,66628834
Indonesia,Sumatera Utara,2005,74515,42627564
Indonesia,Yogyakarta,2005,15,7831
Indonesia,Aceh,2006,21285,13988635
Indonesia,Bali,2006,515,321754
Indonesia,Bangka Belitung,2006,20241,10798481
Indonesia,Banten,2006,1938,1100063
Indonesia,Bengkulu,2006,23588,16047571
Indonesia,Gorontalo,2006,5250,3676075
Indonesia,Jakarta Raya,2006,4,1459
Indonesia,Jambi,2006,119578,85081995
Indonesia,Jawa Barat,2006,5244,3262481
Indonesia,Jawa Tengah,2006,3474,2006530
Indonesia,Jawa Timur,2006,5746,3714555
Indonesia,Kalimantan Barat,2006,130919,94749795
Indonesia,Kalimantan Selatan,2006,54015,31303589
Indonesia,Kalimantan Tengah,2006,221892,149794767
Indonesia,Kalimantan Timur,2006,128252,78289445
Indonesia,Kalimantan Utara,2006,24116,18053734
Indonesia,Kepulauan Riau,2006,5432,3112665
Indonesia,Lampung,2006,14046,7643916
Indonesia,Maluku,2006,12417,8846487
Indonesia,Maluku Utara,2006,16112,12104120
Indonesia,Nusa Tenggara Barat,2006,2486,1440503
Indonesia,Nusa Tenggara Timur,2006,6987,3912432
Indonesia,Papua,2006,21300,15627671
Indonesia,Papua Barat,2006,11049,8237500
Indonesia,Riau,2006,202108,196058707
Indonesia,Sulawesi Barat,2006,11482,8512164
Indonesia,Sulawesi Selatan,2006,13891,9087336
Indonesia,Sulawesi Tengah,2006,30634,22151539
Indonesia,Sulawesi Tenggara,2006,44384,29406928
Indonesia,Sulawesi Utara,2006,4894,3592794
Indonesia,Sumatera Barat,2006,32716,24170413
Indonesia,Sumatera Selatan,2006,170369,147426290
Indonesia,Sumatera Utara,2006,66724,36527535
Indonesia,Yogyakarta,2006,62,32859
Indonesia,Aceh,2007,24168,15340695
Indonesia,Bali,2007,503,313829
Indonesia,Bangka Belitung,2007,23238,12067939
Indonesia,Banten,2007,1062,609739
Indonesia,Bengkulu,2007,17580,12553704
Indonesia,Gorontalo,2007,4329,2959463
Indonesia,Jakarta Raya,2007,2,829
Indonesia,Jambi,2007,118973,95940008
Indonesia,Jawa Barat,2007,3055,2055467
Indonesia,Jawa Tengah,2007,2898,1806292
Indonesia,Jawa Timur,2007,4430,2925464
Indonesia,Kalimantan Barat,2007,132081,101581432
Indonesia,Kalimantan Selatan,2007,29585,17563385
Indonesia,Kalimantan Tengah,2007,291717,297790964
Indonesia,Kalimantan Timur,2007,121913,75686771
Indonesia,Kalimantan Utara,2007,30813,23144194
Indonesia,Kepulauan Riau,2007,2688,1488412
Indonesia,Lampung,2007,15583,8052846
Indonesia,Maluku,2007,4456,3123424
Indonesia,Maluku Utara,2007,5353,3997802
Indonesia,Nusa Tenggara Barat,2007,1993,1178791
Indonesia,Nusa Tenggara Timur,2007,5032,2690954
Indonesia,Papua,2007,21136,15948977
Indonesia,Papua Barat,2007,6648,5286438
Indonesia,Riau,2007,211990,228599258
Indonesia,Sulawesi Barat,2007,4151,3049818
Indonesia,Sulawesi Selatan,2007,9525,6134485
Indonesia,Sulawesi Tengah,2007,20347,14523592
Indonesia,Sulawesi Tenggara,2007,9983,6921768
Indonesia,Sulawesi Utara,2007,4278,3163103
Indonesia,Sumatera Barat,2007,31672,23727346
Indonesia,Sumatera Selatan,2007,173987,178119434
Indonesia,Sumatera Utara,2007,52433,28205549
Indonesia,Yogyakarta,2007,20,9869
Indonesia,Aceh,2008,36734,25064284
Indonesia,Bali,2008,230,146754
Indonesia,Bangka Belitung,2008,22678,11268030
Indonesia,Banten,2008,930,566214
Indonesia,Bengkulu,2008,22353,15710097
Indonesia,Gorontalo,2008,1795,1196561
Indonesia,Jakarta Raya,2008,2,121
Indonesia,Jambi,2008,124206,106047520
Indonesia,Jawa Barat,2008,5116,3437109
Indonesia,Jawa Tengah,2008,2657,1633271
Indonesia,Jawa Timur,2008,3994,2612917
Indonesia,Kalimantan Barat,2008,202684,139827257
Indonesia,Kalimantan Selatan,2008,18695,10909700
Indonesia,Kalimantan Tengah,2008,204626,143437889
Indonesia,Kalimantan Timur,2008,105147,66022672
Indonesia,Kalimantan Utara,2008,39795,32274240
Indonesia,Kepulauan Riau,2008,8706,4869748
Indonesia,Lampung,2008,16173,9053481
Indonesia,Maluku,2008,2935,1998723
Indonesia,Maluku Utara,2008,4955,3728255
Indonesia,Nusa Tenggara Barat,2008,2735,1513090
Indonesia,Nusa Tenggara Timur,2008,4451,2405334
Indonesia,Papua,2008,15555,11485626
Indonesia,Papua Barat,2008,7890,6256341
Indonesia,Riau,2008,204516,197402205
Indonesia,Sulawesi Barat,2008,12540,8775492
Indonesia,Sulawesi Selatan,2008,8127,4790419
Indonesia,Sulawesi Tengah,2008,16733,11860971
Indonesia,Sulawesi Tenggara,2008,8700,5801600
Indonesia,Sulawesi Utara,2008,1608,1175580
Indonesia,Sumatera Barat,2008,34036,25389625
Indonesia,Sumatera Selatan,2008,189247,157903867
Indonesia,Sumatera Utara,2008,65671,39386855
Indonesia,Yogyakarta,2008,28,14559
