country,subnational1,driver,year,tree_cover_loss_ha
Indonesia,Aceh,Hard commodities,2001,86
Indonesia,Aceh,Logging,2001,1074
Indonesia,Aceh,Other natural disturbances,2001,153
Indonesia,Aceh,Permanent agriculture,2001,14308
Indonesia,Aceh,Settlements & Infrastructure,2001,54
Indonesia,Aceh,Shifting cultivation,2001,2503
Indonesia,Aceh,Wildfire,2001,35
Indonesia,Aceh,Hard commodities,2002,79
Indonesia,Aceh,Logging,2002,692
Indonesia,Aceh,Other natural disturbances,2002,100
Indonesia,Aceh,Permanent agriculture,2002,8240
Indonesia,Aceh,Settlements & Infrastructure,2002,26
Indonesia,Aceh,Shifting cultivation,2002,1741
Indonesia,Aceh,Wildfire,2002,30
Indonesia,Aceh,Hard commodities,2003,26
Indonesia,Aceh,Logging,2003,3003
Indonesia,Aceh,Other natural disturbances,2003,189
Indonesia,Aceh,Permanent agriculture,2003,7540
Indonesia,Aceh,Settlements & Infrastructure,2003,34
Indonesia,Aceh,Shifting cultivation,2003,965
Indonesia,Aceh,Wildfire,2003,9
Indonesia,Aceh,Hard commodities,2004,34
Indonesia,Aceh,Logging,2004,374
Indonesia,Aceh,Other natural disturbances,2004,246
Indonesia,Aceh,Permanent agriculture,2004,16895
Indonesia,Aceh,Settlements & Infrastructure,2004,229
Indonesia,Aceh,Shifting cultivation,2004,1271
Indonesia,Aceh,Wildfire,2004,14
Indonesia,Aceh,Hard commodities,2005,16
Indonesia,Aceh,Logging,2005,389
Indonesia,Aceh,Other natural disturbances,2005,446
Indonesia,Aceh,Permanent agriculture,2005,24043
Indonesia,Aceh,Settlements & Infrastructure,2005,206
Indonesia,Aceh,Shifting cultivation,2005,1278
Indonesia,Aceh,Wildfire,2005,20
Indonesia,Aceh,Hard commodities,2006,72
Indonesia,Aceh,Logging,2006,308
Indonesia,Aceh,Other natural disturbances,2006,296
Indonesia,Aceh,Permanent agriculture,2006,18667
Indonesia,Aceh,Settlements & Infrastructure,2006,108
Indonesia,Aceh,Shifting cultivation,2006,1753
Indonesia,Aceh,Wildfire,2006,28
Indonesia,Aceh,Hard commodities,2007,82
Indonesia,Aceh,Logging,2007,504
Indonesia,Aceh,Other natural disturbances,2007,1134
Indonesia,Aceh,Permanent agriculture,2007,19388
Indonesia,Aceh,Settlements & Infrastructure,2007,94
Indonesia,Aceh,Shifting cultivation,2007,2874
Indonesia,Aceh,Wildfire,2007,23
Indonesia,Aceh,Hard commodities,2008,194
Indonesia,Aceh,Logging,2008,559
Indonesia,Aceh,Other natural disturbances,2008,192
Indonesia,Aceh,Permanent agriculture,2008,33382
Indonesia,Aceh,Settlements & Infrastructure,2008,59
Indonesia,Aceh,Shifting cultivation,2008,2208
Indonesia,Aceh,Wildfire,2008,110
Indonesia,Aceh,Hard commodities,2009,191
Indonesia,Aceh,Logging,2009,1391
Indonesia,Aceh,Other natural disturbances,2009,458
Indonesia,Aceh,Permanent agriculture,2009,62500
Indonesia,Aceh,Settlements & Infrastructure,2009,220
Indonesia,Aceh,Shifting cultivation,2009,4069
Indonesia,Aceh,Wildfire,2009,177
Indonesia,Aceh,Hard commodities,2010,110
Indonesia,Aceh,Logging,2010,447
Indonesia,Aceh,Other natural disturbances,2010,262
Indonesia,Aceh,Permanent agriculture,2010,37077
Indonesia,Aceh,Settlements & Infrastructure,2010,76
Indonesia,Aceh,Shifting cultivation,2010,2698
Indonesia,Aceh,Wildfire,2010,33
Indonesia,Aceh,Hard commodities,2011,237
Indonesia,Aceh,Logging,2011,626
Indonesia,Aceh,Other natural disturbances,2011,212
Indonesia,Aceh,Permanent agriculture,2011,43903
Indonesia,Aceh,Settlements & Infrastructure,2011,115
Indonesia,Aceh,Shifting cultivation,2011,2026
Indonesia,Aceh,Wildfire,2011,285
Indonesia,Aceh,Hard commodities,2012,168
Indonesia,Aceh,Logging,2012,493
Indonesia,Aceh,Other natural disturbances,2012,226
Indonesia,Aceh,Permanent agriculture,2012,45921
Indonesia,Aceh,Settlements & Infrastructure,2012,79
Indonesia,Aceh,Shifting cultivation,2012,1983
Indonesia,Aceh,Wildfire,2012,411
Indonesia,Aceh,Hard commodities,2013,188
Indonesia,Aceh,Logging,2013,669
Indonesia,Aceh,Other natural disturbances,2013,174
