country,subnational1,year,gross_emissions_Mg_CO2e
Indonesia,Aceh,2001,10876310
Indonesia,Bali,2001,260474
Indonesia,Bangka Belitung,2001,7031487
Indonesia,Banten,2001,626102
Indonesia,Bengkulu,2001,10203132
Indonesia,Gorontalo,2001,2408462
Indonesia,Jakarta Raya,2001,1007
Indonesia,Jambi,2001,34140822
Indonesia,Jawa Barat,2001,4819651
Indonesia,Jawa Tengah,2001,1764777
Indonesia,Jawa Timur,2001,2932386
Indonesia,Kalimantan Barat,2001,49956846
Indonesia,Kalimantan Selatan,2001,10697784
Indonesia,Kalimantan Tengah,2001,42725073
Indonesia,Kalimantan Timur,2001,27470245
Indonesia,Kalimantan Utara,2001,19585127
Indonesia,Kepulauan Riau,2001,958044
Indonesia,Lampung,2001,5716765
Indonesia,Maluku,2001,3093482
Indonesia,Maluku Utara,2001,5319473
Indonesia,Nusa Tenggara Barat,2001,1798670
Indonesia,Nusa Tenggara Timur,2001,2796386
Indonesia,Papua,2001,8864625
Indonesia,Papua Barat,2001,4624840
Indonesia,Riau,2001,145488037
Indonesia,Sulawesi Barat,2001,11940612
Indonesia,Sulawesi Selatan,2001,5684548
Indonesia,Sulawesi Tengah,2001,12498223
Indonesia,Sulawesi Tenggara,2001,10231719
Indonesia,Sulawesi Utara,2001,3290821
Indonesia,Sumatera Barat,2001,9083974
Indonesia,Sumatera Selatan,2001,31438329
Indonesia,Sumatera Utara,2001,20325216
Indonesia,Yogyakarta,2001,45104
Indonesia,Aceh,2002,6678064
Indonesia,Bali,2002,189686
Indonesia,Bangka Belitung,2002,5588009
Indonesia,Banten,2002,1055833
Indonesia,Bengkulu,2002,7576499
Indonesia,Gorontalo,2002,5591703
Indonesia,Jakarta Raya,2002,20
Indonesia,Jambi,2002,37031009
Indonesia,Jawa Barat,2002,2607003
Indonesia,Jawa Tengah,2002,1153265
Indonesia,Jawa Timur,2002,2729761
Indonesia,Kalimantan Barat,2002,63100013
Indonesia,Kalimantan Selatan,2002,13985772
Indonesia,Kalimantan Tengah,2002,75327173
Indonesia,Kalimantan Timur,2002,34198121
Indonesia,Kalimantan Utara,2002,16726857
Indonesia,Kepulauan Riau,2002,3086543
Indonesia,Lampung,2002,5351655
Indonesia,Maluku,2002,10240765
Indonesia,Maluku Utara,2002,16823070
Indonesia,Nusa Tenggara Barat,2002,1620679
Indonesia,Nusa Tenggara Timur,2002,2669075
Indonesia,Papua,2002,14215029
Indonesia,Papua Barat,2002,12754323
Indonesia,Riau,2002,174861442
Indonesia,Sulawesi Barat,2002,8761565
Indonesia,Sulawesi Selatan,2002,8514477
Indonesia,Sulawesi Tengah,2002,23584166
Indonesia,Sulawesi Tenggara,2002,10428574
Indonesia,Sulawesi Utara,2002,5708514
Indonesia,Sumatera Barat,2002,11049061
Indonesia,Sumatera Selatan,2002,47317533
Indonesia,Sumatera Utara,2002,19915984
Indonesia,Yogyakarta,2002,16815
Indonesia,Aceh,2003,8095293
Indonesia,Bali,2003,116829
Indonesia,Bangka Belitung,2003,3504184
Indonesia,Banten,2003,167835
Indonesia,Bengkulu,2003,5840849
Indonesia,Gorontalo,2003,2077892
Indonesia,Jakarta Raya,2003,120
Indonesia,Jambi,2003,17864124
Indonesia,Jawa Barat,2003,1419521
Indonesia,Jawa Tengah,2003,512512
Indonesia,Jawa Timur,2003,2011434
Indonesia,Kalimantan Barat,2003,37951641
Indonesia,Kalimantan Selatan,2003,10861601
Indonesia,Kalimantan Tengah,2003,150850624
Indonesia,Kalimantan Timur,2003,23431957
Indonesia,Kalimantan Utara,2003,11893266
Indonesia,Kepulauan Riau,2003,1018327
Indonesia,Lampung,2003,3028937
Indonesia,Maluku,2003,2984547
Indonesia,Maluku Utara,2003,6252779
Indonesia,Nusa Tenggara Barat,2003,990208
Indonesia,Nusa Tenggara Timur,2003,2235754
Indonesia,Papua,2003,8719584
Indonesia,Papua Barat,2003,5907639
Indonesia,Riau,2003,57755932
Indonesia,Sulawesi Barat,2003,5116530
Indonesia,Sulawesi Selatan,2003,4194496
Indonesia,Sulawesi Tengah,2003,13961744
Indonesia,Sulawesi Tenggara,2003,9388288
Indonesia,Sulawesi Utara,2003,2283888
Indonesia,Sumatera Barat,2003,6996854
Indonesia,Sumatera Selatan,2003,19722445
Indonesia,Sumatera Utara,2003,17451908
Indonesia,Yogyakarta,2003,4442
Indonesia,Aceh,2004,11641792
Indonesia,Bali,2004,217965
Indonesia,Bangka Belitung,2004,11525949
Indonesia,Banten,2004,836646
Indonesia,Bengkulu,2004,18450466
Indonesia,Gorontalo,2004,4759596
Indonesia,Jakarta Raya,2004,678
Indonesia,Jambi,2004,92770309
Indonesia,Jawa Barat,2004,2231652
Indonesia,Jawa Tengah,2004,2159950
Indonesia,Jawa Timur,2004,4292545
Indonesia,Kalimantan Barat,2004,77932009
Indonesia,Kalimantan Selatan,2004,25956385
Indonesia,Kalimantan Tengah,2004,117063391
Indonesia,Kalimantan Timur,2004,43015684
Indonesia,Kalimantan Utara,2004,26804882
Indonesia,Kepulauan Riau,2004,2473175
Indonesia,Lampung,2004,5759314
Indonesia,Maluku,2004,5160650
Indonesia,Maluku Utara,2004,9000739
Indonesia,Nusa Tenggara Barat,2004,2775787
Indonesia,Nusa Tenggara Timur,2004,2622722
Indonesia,Papua,2004,14274968
Indonesia,Papua Barat,2004,9470052
Indonesia,Riau,2004,309367921
Indonesia,Sulawesi Barat,2004,11488684
Indonesia,Sulawesi Selatan,2004,11968500
Indonesia,Sulawesi Tengah,2004,29011928
Indonesia,Sulawesi Tenggara,2004,29455478
Indonesia,Sulawesi Utara,2004,5129888
Indonesia,Sumatera Barat,2004,19759772
Indonesia,Sumatera Selatan,2004,70888335
Indonesia,Sumatera Utara,2004,33313011
Indonesia,Yogyakarta,2004,34137
Indonesia,Aceh,2005,17557814
Indonesia,Bali,2005,147626
Indonesia,Bangka Belitung,2005,10126953
Indonesia,Banten,2005,316081
Indonesia,Bengkulu,2005,9284731
Indonesia,Gorontalo,2005,3066971
Indonesia,Jakarta Raya,2005,161
Indonesia,Jambi,2005,63356141
Indonesia,Jawa Barat,2005,1540414
Indonesia,Jawa Tengah,2005,1083503
Indonesia,Jawa Timur,2005,1817806
Indonesia,Kalimantan Barat,2005,75831987
Indonesia,Kalimantan Selatan,2005,14831288
Indonesia,Kalimantan Tengah,2005,111040142
Indonesia,Kalimantan Timur,2005,41322862
Indonesia,Kalimantan Utara,2005,17333991
Indonesia,Kepulauan Riau,2005,4433025
Indonesia,Lampung,2005,4894483
Indonesia,Maluku,2005,3959869
Indonesia,Maluku Utara,2005,4830634
