country,subnational1,threshold,year,tree_cover_loss_ha
Indonesia,Aceh,30,2001,18278
Indonesia,Bali,30,2001,424
Indonesia,Bangka Belitung,30,2001,13910
Indonesia,Banten,30,2001,1054
Indonesia,Bengkulu,30,2001,14198
Indonesia,Gorontalo,30,2001,3499
Indonesia,Jakarta Raya,30,2001,4
Indonesia,Jambi,30,2001,46912
Indonesia,Jawa Barat,30,2001,6798
Indonesia,Jawa Tengah,30,2001,2676
Indonesia,Jawa Timur,30,2001,4226
Indonesia,Kalimantan Barat,30,2001,77940
Indonesia,Kalimantan Selatan,30,2001,18967
Indonesia,Kalimantan Tengah,30,2001,64076
Indonesia,Kalimantan Timur,30,2001,45977
Indonesia,Kalimantan Utara,30,2001,27060
Indonesia,Kepulauan Riau,30,2001,1719
Indonesia,Lampung,30,2001,10336
Indonesia,Maluku,30,2001,4540
Indonesia,Maluku Utara,30,2001,7354
Indonesia,Nusa Tenggara Barat,30,2001,2882
Indonesia,Nusa Tenggara Timur,30,2001,4725
Indonesia,Papua,30,2001,12589
Indonesia,Papua Barat,30,2001,6078
Indonesia,Riau,30,2001,156511
Indonesia,Sulawesi Barat,30,2001,16400
Indonesia,Sulawesi Selatan,30,2001,8488
Indonesia,Sulawesi Tengah,30,2001,17547
Indonesia,Sulawesi Tenggara,30,2001,15948
Indonesia,Sulawesi Utara,30,2001,4519
Indonesia,Sumatera Barat,30,2001,15016
Indonesia,Sumatera Selatan,30,2001,59014
Indonesia,Sumatera Utara,30,2001,54337
Indonesia,Yogyakarta,30,2001,83
Indonesia,Aceh,30,2002,10953
Indonesia,Bali,30,2002,313
Indonesia,Bangka Belitung,30,2002,11247
Indonesia,Banten,30,2002,1761
Indonesia,Bengkulu,30,2002,10422
Indonesia,Gorontalo,30,2002,8013
Indonesia,Jakarta Raya,30,2002,0
Indonesia,Jambi,30,2002,45073
Indonesia,Jawa Barat,30,2002,3850
Indonesia,Jawa Tengah,30,2002,1898
Indonesia,Jawa Timur,30,2002,4052
Indonesia,Kalimantan Barat,30,2002,96866
Indonesia,Kalimantan Selatan,30,2002,24324
Indonesia,Kalimantan Tengah,30,2002,102875
Indonesia,Kalimantan Timur,30,2002,57425
Indonesia,Kalimantan Utara,30,2002,23604
Indonesia,Kepulauan Riau,30,2002,5529
Indonesia,Lampung,30,2002,9348
Indonesia,Maluku,30,2002,14596
Indonesia,Maluku Utara,30,2002,23401
Indonesia,Nusa Tenggara Barat,30,2002,2675
Indonesia,Nusa Tenggara Timur,30,2002,4608
Indonesia,Papua,30,2002,20480
Indonesia,Papua Barat,30,2002,14750
Indonesia,Riau,30,2002,154561
Indonesia,Sulawesi Barat,30,2002,12107
Indonesia,Sulawesi Selatan,30,2002,12728
Indonesia,Sulawesi Tengah,30,2002,33169
Indonesia,Sulawesi Tenggara,30,2002,15851
Indonesia,Sulawesi Utara,30,2002,7682
Indonesia,Sumatera Barat,30,2002,15384
Indonesia,Sumatera Selatan,30,2002,65958
Indonesia,Sumatera Utara,30,2002,39736
Indonesia,Yogyakarta,30,2002,32
Indonesia,Aceh,30,2003,11816
Indonesia,Bali,30,2003,180
Indonesia,Bangka Belitung,30,2003,7123
Indonesia,Banten,30,2003,293
Indonesia,Bengkulu,30,2003,8104
Indonesia,Gorontalo,30,2003,2806
Indonesia,Jakarta Raya,30,2003,0
Indonesia,Jambi,30,2003,21497
Indonesia,Jawa Barat,30,2003,1979
Indonesia,Jawa Tengah,30,2003,790
Indonesia,Jawa Timur,30,2003,2910
Indonesia,Kalimantan Barat,30,2003,55967
Indonesia,Kalimantan Selatan,30,2003,18402
Indonesia,Kalimantan Tengah,30,2003,129123
Indonesia,Kalimantan Timur,30,2003,36974
Indonesia,Kalimantan Utara,30,2003,16649
Indonesia,Kepulauan Riau,30,2003,1776
Indonesia,Lampung,30,2003,4982
Indonesia,Maluku,30,2003,4307
Indonesia,Maluku Utara,30,2003,10038
Indonesia,Nusa Tenggara Barat,30,2003,1720
Indonesia,Nusa Tenggara Timur,30,2003,3848
Indonesia,Papua,30,2003,11730
Indonesia,Papua Barat,30,2003,7248
Indonesia,Riau,30,2003,57204
Indonesia,Sulawesi Barat,30,2003,6885
Indonesia,Sulawesi Selatan,30,2003,5984
Indonesia,Sulawesi Tengah,30,2003,20131
Indonesia,Sulawesi Tenggara,30,2003,13418
Indonesia,Sulawesi Utara,30,2003,2910
Indonesia,Sumatera Barat,30,2003,9834
Indonesia,Sumatera Selatan,30,2003,30693
Indonesia,Sumatera Utara,30,2003,37482
Indonesia,Yogyakarta,30,2003,9
Indonesia,Aceh,30,2004,19138
Indonesia,Bali,30,2004,370
Indonesia,Bangka Belitung,30,2004,21976
Indonesia,Banten,30,2004,1404
Indonesia,Bengkulu,30,2004,25985
Indonesia,Gorontalo,30,2004,6950
Indonesia,Jakarta Raya,30,2004,2
Indonesia,Jambi,30,2004,97085
Indonesia,Jawa Barat,30,2004,3658
Indonesia,Jawa Tengah,30,2004,3568
Indonesia,Jawa Timur,30,2004,6465
Indonesia,Kalimantan Barat,30,2004,113922
Indonesia,Kalimantan Selatan,30,2004,41871
Indonesia,Kalimantan Tengah,30,2004,169837
Indonesia,Kalimantan Timur,30,2004,71495
Indonesia,Kalimantan Utara,30,2004,36334
Indonesia,Kepulauan Riau,30,2004,4533
Indonesia,Lampung,30,2004,10521
Indonesia,Maluku,30,2004,7366
Indonesia,Maluku Utara,30,2004,12042
Indonesia,Nusa Tenggara Barat,30,2004,4554
Indonesia,Nusa Tenggara Timur,30,2004,4687
Indonesia,Papua,30,2004,19128
Indonesia,Papua Barat,30,2004,12226
Indonesia,Riau,30,2004,270588
Indonesia,Sulawesi Barat,30,2004,15736
Indonesia,Sulawesi Selatan,30,2004,17832
Indonesia,Sulawesi Tengah,30,2004,40160
Indonesia,Sulawesi Tenggara,30,2004,41601
Indonesia,Sulawesi Utara,30,2004,6841
Indonesia,Sumatera Barat,30,2004,26547
Indonesia,Sumatera Selatan,30,2004,102153
Indonesia,Sumatera Utara,30,2004,72385
Indonesia,Yogyakarta,30,2004,71
Indonesia,Aceh,30,2005,26479
Indonesia,Bali,30,2005,237
Indonesia,Bangka Belitung,30,2005,19840
Indonesia,Banten,30,2005,545
Indonesia,Bengkulu,30,2005,13141
Indonesia,Gorontalo,30,2005,4241
Indonesia,Jakarta Raya,30,2005,1
Indonesia,Jambi,30,2005,71002
Indonesia,Jawa Barat,30,2005,2326
Indonesia,Jawa Tengah,30,2005,1703
Indonesia,Jawa Timur,30,2005,2820
Indonesia,Kalimantan Barat,30,2005,104565
Indonesia,Kalimantan Selatan,30,2005,25393
Indonesia,Kalimantan Tengah,30,2005,158552
Indonesia,Kalimantan Timur,30,2005,66743
Indonesia,Kalimantan Utara,30,2005,23947
Indonesia,Kepulauan Riau,30,2005,8092
Indonesia,Lampung,30,2005,9319
Indonesia,Maluku,30,2005,5605
Indonesia,Maluku Utara,30,2005,6417
Indonesia,Nusa Tenggara Barat,30,2005,2035
Indonesia,Nusa Tenggara Timur,30,2005,5053
Indonesia,Papua,30,2005,14728
Indonesia,Papua Barat,30,2005,7085
Indonesia,Riau,30,2005,355414
Indonesia,Sulawesi Barat,30,2005,9396
Indonesia,Sulawesi Selatan,30,2005,8573
Indonesia,Sulawesi Tengah,30,2005,18074
Indonesia,Sulawesi Tenggara,30,2005,16419
Indonesia,Sulawesi Utara,30,2005,3474
Indonesia,Sumatera Barat,30,2005,29285
Indonesia,Sumatera Selatan,30,2005,87404
Indonesia,Sumatera Utara,30,2005,74515
Indonesia,Yogyakarta,30,2005,15
Indonesia,Aceh,30,2006,21285
Indonesia,Bali,30,2006,515
Indonesia,Bangka Belitung,30,2006,20241
Indonesia,Banten,30,2006,1938
Indonesia,Bengkulu,30,2006,23588
Indonesia,Gorontalo,30,2006,5250
Indonesia,Jakarta Raya,30,2006,4
Indonesia,Jambi,30,2006,119578
Indonesia,Jawa Barat,30,2006,5244
Indonesia,Jawa Tengah,30,2006,3474
Indonesia,Jawa Timur,30,2006,5746
Indonesia,Kalimantan Barat,30,2006,130919
Indonesia,Kalimantan Selatan,30,2006,54015
Indonesia,Kalimantan Tengah,30,2006,221892
Indonesia,Kalimantan Timur,30,2006,128252
Indonesia,Kalimantan Utara,30,2006,24116
Indonesia,Kepulauan Riau,30,2006,5432
Indonesia,Lampung,30,2006,14046
Indonesia,Maluku,30,2006,12417
Indonesia,Maluku Utara,30,2006,16112
Indonesia,Nusa Tenggara Barat,30,2006,2486
Indonesia,Nusa Tenggara Timur,30,2006,6987
Indonesia,Papua,30,2006,21300
Indonesia,Papua Barat,30,2006,11049
Indonesia,Riau,30,2006,202108
Indonesia,Sulawesi Barat,30,2006,11482
Indonesia,Sulawesi Selatan,30,2006,13891
Indonesia,Sulawesi Tengah,30,2006,30634
Indonesia,Sulawesi Tenggara,30,2006,44384
Indonesia,Sulawesi Utara,30,2006,4894
Indonesia,Sumatera Barat,30,2006,32716
Indonesia,Sumatera Selatan,30,2006,170369
Indonesia,Sumatera Utara,30,2006,66724
Indonesia,Yogyakarta,30,2006,62
Indonesia,Aceh,30,2007,24168
Indonesia,Bali,30,2007,503
Indonesia,Bangka Belitung,30,2007,23238
Indonesia,Banten,30,2007,1062
Indonesia,Bengkulu,30,2007,17580
Indonesia,Gorontalo,30,2007,4329
Indonesia,Jakarta Raya,30,2007,2
Indonesia,Jambi,30,2007,118973
Indonesia,Jawa Barat,30,2007,3055
Indonesia,Jawa Tengah,30,2007,2898
Indonesia,Jawa Timur,30,2007,4430
Indonesia,Kalimantan Barat,30,2007,132081
Indonesia,Kalimantan Selatan,30,2007,29585
Indonesia,Kalimantan Tengah,30,2007,291717
Indonesia,Kalimantan Timur,30,2007,121913
Indonesia,Kalimantan Utara,30,2007,30813
Indonesia,Kepulauan Riau,30,2007,2688
Indonesia,Lampung,30,2007,15583
Indonesia,Maluku,30,2007,4456
Indonesia,Maluku Utara,30,2007,5353
Indonesia,Nusa Tenggara Barat,30,2007,1993
Indonesia,Nusa Tenggara Timur,30,2007,5032
Indonesia,Papua,30,2007,21136
Indonesia,Papua Barat,30,2007,6648
Indonesia,Riau,30,2007,211990
Indonesia,Sulawesi Barat,30,2007,4151
Indonesia,Sulawesi Selatan,30,2007,9525
Indonesia,Sulawesi Tengah,30,2007,20347
Indonesia,Sulawesi Tenggara,30,2007,9983
Indonesia,Sulawesi Utara,30,2007,4278
Indonesia,Sumatera Barat,30,2007,31672
Indonesia,Sumatera Selatan,30,2007,173987
Indonesia,Sumatera Utara,30,2007,52433
Indonesia,Yogyakarta,30,2007,20
Indonesia,Aceh,30,2008,36734
Indonesia,Bali,30,2008,230
Indonesia,Bangka Belitung,30,2008,22678
Indonesia,Banten,30,2008,930
Indonesia,Bengkulu,30,2008,22353
Indonesia,Gorontalo,30,2008,1795
Indonesia,Jakarta Raya,30,2008,2
Indonesia,Jambi,30,2008,124206
Indonesia,Jawa Barat,30,2008,5116
Indonesia,Jawa Tengah,30,2008,2657
Indonesia,Jawa Timur,30,2008,3994
Indonesia,Kalimantan Barat,30,2008,202684
Indonesia,Kalimantan Selatan,30,2008,18695
Indonesia,Kalimantan Tengah,30,2008,204626
Indonesia,Kalimantan Timur,30,2008,105147
Indonesia,Kalimantan Utara,30,2008,39795
Indonesia,Kepulauan Riau,30,2008,8706
Indonesia,Lampung,30,2008,16173
Indonesia,Maluku,30,2008,2935
Indonesia,Maluku Utara,30,2008,4955
Indonesia,Nusa Tenggara Barat,30,2008,2735
Indonesia,Nusa Tenggara Timur,30,2008,4451
Indonesia,Papua,30,2008,15555
Indonesia,Papua Barat,30,2008,7890
Indonesia,Riau,30,2008,204516
Indonesia,Sulawesi Barat,30,2008,12540
Indonesia,Sulawesi Selatan,30,2008,8127
Indonesia,Sulawesi Tengah,30,2008,16733
Indonesia,Sulawesi Tenggara,30,2008,8700
Indonesia,Sulawesi Utara,30,2008,1608
Indonesia,Sumatera Barat,30,2008,34036
Indonesia,Sumatera Selatan,30,2008,189247
Indonesia,Sumatera Utara,30,2008,65671
Indonesia,Yogyakarta,30,2008,28
Indonesia,Aceh,30,2009,69111
Indonesia,Bali,30,2009,376
Indonesia,Bangka Belitung,30,2009,63896
Indonesia,Banten,30,2009,2755
Indonesia,Bengkulu,30,2009,18756
Indonesia,Gorontalo,30,2009,11263
Indonesia,Jakarta Raya,30,2009,1
Indonesia,Jambi,30,2009,125511
Indonesia,Jawa Barat,30,2009,2886
Indonesia,Jawa Tengah,30,2009,3054
Indonesia,Jawa Timur,30,2009,4276
Indonesia,Kalimantan Barat,30,2009,288604
Indonesia,Kalimantan Selatan,30,2009,60465
Indonesia,Kalimantan Tengah,30,2009,194377
Indonesia,Kalimantan Timur,30,2009,211514
Indonesia,Kalimantan Utara,30,2009,51702
Indonesia,Kepulauan Riau,30,2009,5233
Indonesia,Lampung,30,2009,23140
Indonesia,Maluku,30,2009,13424
Indonesia,Maluku Utara,30,2009,13474
Indonesia,Nusa Tenggara Barat,30,2009,1953
Indonesia,Nusa Tenggara Timur,30,2009,5917
Indonesia,Papua,30,2009,23128
Indonesia,Papua Barat,30,2009,14430
Indonesia,Riau,30,2009,247897
Indonesia,Sulawesi Barat,30,2009,11858
Indonesia,Sulawesi Selatan,30,2009,23379
Indonesia,Sulawesi Tengah,30,2009,52427
Indonesia,Sulawesi Tenggara,30,2009,30091
Indonesia,Sulawesi Utara,30,2009,6999
Indonesia,Sumatera Barat,30,2009,40536
Indonesia,Sumatera Selatan,30,2009,201438
Indonesia,Sumatera Utara,30,2009,121059
Indonesia,Yogyakarta,30,2009,25
Indonesia,Aceh,30,2010,40757
Indonesia,Bali,30,2010,199
Indonesia,Bangka Belitung,30,2010,23187
Indonesia,Banten,30,2010,1632
Indonesia,Bengkulu,30,2010,16013
Indonesia,Gorontalo,30,2010,1570
Indonesia,Jakarta Raya,30,2010,2
Indonesia,Jambi,30,2010,36679
Indonesia,Jawa Barat,30,2010,2632
Indonesia,Jawa Tengah,30,2010,1323
Indonesia,Jawa Timur,30,2010,1649
Indonesia,Kalimantan Barat,30,2010,152522
Indonesia,Kalimantan Selatan,30,2010,26199
Indonesia,Kalimantan Tengah,30,2010,142341
Indonesia,Kalimantan Timur,30,2010,107242
Indonesia,Kalimantan Utara,30,2010,29945
Indonesia,Kepulauan Riau,30,2010,4796
Indonesia,Lampung,30,2010,14091
Indonesia,Maluku,30,2010,4397
Indonesia,Maluku Utara,30,2010,6068
Indonesia,Nusa Tenggara Barat,30,2010,1146
Indonesia,Nusa Tenggara Timur,30,2010,1780
Indonesia,Papua,30,2010,25679
Indonesia,Papua Barat,30,2010,11693
