latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight,type
-3.7107,128.162,312.3,1.1,1,2013-01-01,0202,Terra,MODIS,0,6.2,293,7.8,D,0
-2.5786,121.3786,324.5,1.8,1.3,2013-01-01,0202,Terra,MODIS,80,6.2,284.2,40.3,D,2
-3.7879,103.5396,313.5,1.1,1.1,2013-01-01,0341,Terra,MODIS,50,6.2,290,7,D,0
-6.1384,106.2887,317.5,1,1,2013-01-01,0635,Aqua,MODIS,59,6.2,295.1,7.1,D,0
-3.0347,105.3487,312.9,1,1,2013-01-01,0636,Aqua,MODIS,21,6.2,287.7,6.1,D,0
-0.2206,102.3706,308.4,1.1,1.1,2013-01-01,0637,Aqua,MODIS,35,6.2,277,6.2,D,0
2.7708,125.412,316.9,1.6,1.2,2013-01-01,1424,Terra,MODIS,92,6.2,279.5,30.6,N,0
2.7816,125.4089,315.2,1.6,1.2,2013-01-01,1424,Terra,MODIS,87,6.2,276.7,28.1,N,0
-2.5768,121.3725,306.5,2,1.4,2013-01-02,0245,Terra,MODIS,38,6.2,285,9.4,D,2
-4.6967,120.3142,313.6,1,1,2013-01-02,0540,Aqua,MODIS,30,6.2,290.3,5.2,D,0
-0.9566,121.6023,307.2,1.3,1.1,2013-01-02,0541,Aqua,MODIS,40,6.2,284.9,6.9,D,0
-1.7556,121.3049,314.2,1.2,1.1,2013-01-02,0541,Aqua,MODIS,54,6.2,290.8,7.5,D,0
-8.3594,137.91,321.2,1.4,1.2,2013-01-03,0443,Aqua,MODIS,25,6.2,297.5,14.9,D,0
-0.0316,102.6837,310.8,1.7,1.3,2013-01-03,0625,Aqua,MODIS,42,6.2,288.1,12.1,D,0
-0.1976,101.8325,314.9,2,1.4,2013-01-03,0625,Aqua,MODIS,56,6.2,286.1,24.1,D,0
-0.2066,101.8271,312.8,2,1.4,2013-01-03,0625,Aqua,MODIS,50,6.2,283.7,18.7,D,0
-0.2001,101.8148,307.9,2,1.4,2013-01-03,0625,Aqua,MODIS,33,6.2,282.8,8.7,D,0
-0.2431,102.4094,313.2,1.8,1.3,2013-01-03,0625,Aqua,MODIS,17,6.2,288.9,15.7,D,0
-2.5822,121.3716,312.9,1.4,1.2,2013-01-03,1410,Terra,MODIS,86,6.2,287.1,18.9,N,2
-2.5805,121.3841,347.9,1.4,1.2,2013-01-03,1410,Terra,MODIS,100,6.2,288.7,97,N,2
-2.5698,121.3829,316,1.4,1.2,2013-01-03,1410,Terra,MODIS,92,6.2,287.7,22.6,N,2
-2.5716,121.3704,303.1,1.4,1.2,2013-01-03,1410,Terra,MODIS,53,6.2,287.1,7.7,N,2
-2.5773,121.3996,310.7,1.7,1.3,2013-01-03,1708,Aqua,MODIS,81,6.2,274.9,25.1,N,2
-2.5751,121.385,347.9,1.7,1.3,2013-01-03,1708,Aqua,MODIS,100,6.2,276,131.7,N,2
-8.7774,140.6696,321.5,1.1,1,2013-01-04,0056,Terra,MODIS,63,6.2,297.4,10.9,D,0
0.062,120.0803,314.1,1,1,2013-01-04,0232,Terra,MODIS,60,6.2,293.1,8.6,D,0
0.559,120.3695,313.5,1,1,2013-01-04,0529,Aqua,MODIS,50,6.2,287.9,8.3,D,0
0.5989,117.4289,313.5,1.4,1.2,2013-01-04,0529,Aqua,MODIS,54,6.2,290.8,8.5,D,0
0.6008,117.4417,313,1.4,1.2,2013-01-04,0529,Aqua,MODIS,25,6.2,290.5,7.7,D,0
-6.8924,107.5005,316.1,1,1,2013-01-05,0317,Terra,MODIS,36,6.2,296.1,6.9,D,0
-3.789,103.5392,303.1,1.5,1.2,2013-01-05,0317,Terra,MODIS,21,6.2,272.9,5.4,D,0
-1.0384,103.3026,303.6,1,1,2013-01-05,1537,Terra,MODIS,53,6.2,292.1,3.9,N,2
-1.0397,103.2937,302.5,1,1,2013-01-05,1537,Terra,MODIS,46,6.2,292,3.3,N,0
2.2416,99.938,312,1.1,1,2013-01-06,0358,Terra,MODIS,52,6.2,296.4,5,D,0
0.8801,101.9496,307.3,1.5,1.2,2013-01-06,0358,Terra,MODIS,47,6.2,281.9,9.9,D,0
0.047,101.4416,317.3,1.4,1.2,2013-01-06,0359,Terra,MODIS,75,6.2,288.5,19.7,D,0
0.0452,101.454,311.5,1.4,1.2,2013-01-06,0359,Terra,MODIS,68,6.2,289.5,11.4,D,0
-0.0565,101.6674,320.3,1.5,1.2,2013-01-06,0359,Terra,MODIS,79,6.2,284.4,25.4,D,0
-0.5633,101.3624,318.2,1.4,1.2,2013-01-06,0359,Terra,MODIS,76,6.2,294,17.5,D,0
-0.5652,101.3751,319.1,1.4,1.2,2013-01-06,0359,Terra,MODIS,77,6.2,293.8,19.3,D,0
-0.8606,121.6388,313,1.3,1.1,2013-01-06,0516,Aqua,MODIS,50,6.2,283.2,12,D,0
-0.8623,121.6274,314.9,1.3,1.1,2013-01-06,0516,Aqua,MODIS,65,6.2,284.4,13.9,D,0
-3.7788,103.2246,321.5,1.2,1.1,2013-01-06,0654,Aqua,MODIS,78,6.2,288.2,19.6,D,0
-3.7513,103.1161,315.9,1.2,1.1,2013-01-06,0654,Aqua,MODIS,66,6.2,285.6,12.1,D,0
-3.7772,103.2352,316.6,1.2,1.1,2013-01-06,0654,Aqua,MODIS,72,6.2,288.1,13.5,D,0
0.0638,101.1022,311.9,1,1,2013-01-06,0655,Aqua,MODIS,0,6.2,270.7,10.1,D,0
-0.0591,101.5268,326.2,1.1,1,2013-01-06,0655,Aqua,MODIS,82,6.2,282.4,22.6,D,0
-0.0605,101.5172,317.5,1.1,1,2013-01-06,0655,Aqua,MODIS,73,6.2,283.8,12.4,D,0
-0.2116,101.679,314.2,1.1,1,2013-01-06,0655,Aqua,MODIS,60,6.2,272.8,10.4,D,0
-0.0329,101.841,319.6,1.1,1.1,2013-01-06,0655,Aqua,MODIS,76,6.2,283,14.4,D,0
-0.2507,101.6059,309.7,1.1,1,2013-01-06,0655,Aqua,MODIS,62,6.2,272.7,7.6,D,0
-0.1983,101.8367,316.1,1.1,1,2013-01-06,0655,Aqua,MODIS,54,6.2,285,11.7,D,0
-0.1997,101.8269,315.7,1.1,1,2013-01-06,0655,Aqua,MODIS,48,6.2,281.6,11.7,D,0
0.0655,101.5753,316.5,1.1,1,2013-01-06,0655,Aqua,MODIS,72,6.2,284.3,10.4,D,0
-1.8062,102.0399,308.6,1.1,1,2013-01-06,0655,Aqua,MODIS,61,6.2,276.9,7.2,D,0
-1.8015,102.0337,307.5,1.1,1,2013-01-06,0655,Aqua,MODIS,50,6.2,278.2,6.2,D,0
-0.5719,101.361,326.5,1.1,1,2013-01-06,0655,Aqua,MODIS,83,6.2,288.6,20.3,D,0
-0.576,101.3328,311.2,1.1,1,2013-01-06,0655,Aqua,MODIS,50,6.2,282.6,7,D,0
-0.9463,101.9537,316.4,1.1,1,2013-01-06,0655,Aqua,MODIS,37,6.2,286.2,11.6,D,0
-1.272,101.9161,309.6,1.1,1,2013-01-06,0655,Aqua,MODIS,67,6.2,280.9,7.5,D,0
0.1562,101.0452,307.6,1,1,2013-01-06,0655,Aqua,MODIS,49,6.2,282.3,5.4,D,0
